Company_ID,Year,Industry,Company_Size,Revenue_GBP,AI_Investment_GBP,AI_Adoption_Pct,AI_Tools_Used,AI_Maturity_Level,Data_Quality_Score,Decision_Accuracy_Pct,Decision_Time_Days,Revenue_Growth_Pct,Employee_Productivity_Index,Customer_Satisfaction_Index,Ethical_Compliance,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes
C0001,2015,Retail,46956,3224802559.81,193269.76,28.68,3,Low,6.27,78.37,15.84,4.95,73.58,67.83,No,21920.6,12803.72
C0001,2016,Retail,46956,3471318774.5,140767.21,44.72,3,Medium,6.0,81.76,12.28,7.64,76.31,68.21,No,26307.68,14692.6
C0001,2017,Retail,46956,3432413239.59,225396.57,43.47,3,Medium,6.44,78.13,10.42,3.17,72.36,64.82,No,23399.64,14691.87
C0001,2018,Retail,46956,4286429398.67,216012.89,43.96,2,Medium,7.07,76.14,12.85,9.95,74.32,70.85,Yes,24098.69,16807.15
C0001,2019,Retail,46956,4758816899.04,239754.37,50.18,6,Medium,6.39,87.33,8.96,10.22,73.44,74.51,Yes,30350.75,18308.95
C0001,2020,Retail,46956,4868985955.86,253268.38,40.35,5,Medium,6.9,79.4,9.12,8.59,68.35,68.66,No,26214.34,21242.44
C0001,2021,Retail,46956,4022710061.96,182948.52,66.86,4,Medium,7.49,85.28,8.4,3.75,85.31,70.65,No,24894.97,21871.31
C0001,2022,Retail,46956,7627957439.24,156781.26,62.32,6,Medium,6.29,79.71,9.32,13.09,81.96,80.54,Yes,22557.5,9700.09
C0001,2023,Retail,46956,3921175632.97,220183.74,54.98,4,Medium,6.54,82.24,8.92,2.47,75.77,70.44,No,25834.98,12541.45
C0001,2024,Retail,46956,6272797580.6,221002.35,61.76,5,Medium,7.87,86.16,8.96,7.67,82.26,67.67,Yes,21148.91,17235.55
C0002,2015,Technology,2190,8838777657.89,227146.97,47.18,4,Medium,6.35,76.78,10.99,0.84,73.85,72.45,No,394.31,255.28
C0002,2016,Technology,2190,8692385662.94,223715.33,37.26,4,Low,6.87,77.94,13.14,-1.66,73.87,75.38,No,389.22,292.03
C0002,2017,Technology,2190,9711180191.95,208417.82,38.98,4,Low,6.21,77.81,14.21,4.82,76.54,74.77,Yes,497.54,363.29
C0002,2018,Technology,2190,9944564421.15,285051.55,58.07,4,Medium,7.28,85.01,9.86,4.01,78.17,70.19,Yes,429.65,352.84
C0002,2019,Technology,2190,9916084378.15,267586.33,42.46,3,Medium,8.8,82.8,12.95,2.92,86.27,66.75,Yes,388.67,168.69
C0002,2020,Technology,2190,9378031192.02,306977.09,49.0,4,Medium,8.55,81.16,7.03,1.19,81.19,69.09,No,522.85,182.87
C0002,2021,Technology,2190,10161457796.52,240043.67,52.24,3,Medium,7.06,81.51,9.58,2.35,80.97,71.93,No,517.15,421.26
C0002,2022,Technology,2190,14338589532.39,308048.49,56.55,6,Medium,6.72,85.47,10.55,7.16,78.45,64.62,Yes,408.84,156.82
C0002,2023,Technology,2190,17463331069.57,232944.96,60.51,6,Medium,7.93,88.7,5.64,8.88,90.05,67.19,Yes,325.32,196.65
C0002,2024,Technology,2190,14392033080.51,377594.5,56.89,4,Medium,8.78,86.22,5.92,5.57,87.68,70.09,No,525.24,237.23
C0003,2015,Technology,10418,11737922430.01,130719.39,36.12,1,Low,3.78,74.31,13.35,8.54,59.28,62.66,No,1600.57,716.44
C0003,2016,Technology,10418,13060022008.38,102806.35,29.57,3,Low,1.88,68.88,19.77,11.26,54.22,63.27,No,2455.74,2204.16
C0003,2017,Technology,10418,14137646227.75,112113.97,47.39,5,Medium,3.13,70.24,14.04,9.75,71.51,67.57,No,2774.64,1434.74
C0003,2018,Technology,10418,12164646566.59,143614.1,43.55,3,Medium,3.47,73.8,14.32,1.2,62.67,67.21,No,2041.14,1673.74
C0003,2019,Technology,10418,16328626027.46,110611.62,43.01,3,Medium,3.87,73.55,14.83,8.6,65.96,64.57,No,2356.11,1495.64
C0003,2020,Technology,10418,14840397589.56,105024.53,34.28,2,Low,2.97,75.07,12.39,4.8,54.9,68.13,No,1845.94,1340.3
C0003,2021,Technology,10418,14844659935.82,87781.19,37.63,3,Low,2.33,71.3,16.3,3.99,63.43,68.91,No,2104.0,802.16
C0003,2022,Technology,10418,12961460605.26,140265.89,48.31,5,Medium,4.4,77.72,12.63,1.43,73.82,72.16,No,2252.0,888.61
