Company_ID,Year,Industry,Company_Size,Revenue_GBP,AI_Investment_GBP,AI_Adoption_Pct,AI_Tools_Used,AI_Maturity_Level,Data_Quality_Score,Decision_Accuracy_Pct,Decision_Time_Days,Revenue_Growth_Pct,Employee_Productivity_Index,Customer_Satisfaction_Index,Ethical_Compliance,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes,Revenue_per_Employee,AI_Invest_per_Employee,Revenue_Growth_Computed,AI_Maturity_Num
C0001,2015,Retail,46956,3224802559.81,193269.76,28.68,3,Low,6.27,78.37,15.84,4.95,73.58,67.83,No,21920.6,12803.72,68677.11388981174,4.115975807138598,,1
C0001,2016,Retail,46956,3471318774.5,140767.21,44.72,3,Medium,6.0,81.76,12.28,7.64,76.31,68.21,No,26307.68,14692.6,73927.05457236563,2.9978535224465457,7.6443816363295225,2
C0001,2017,Retail,46956,3432413239.59,225396.57,43.47,3,Medium,6.44,78.13,10.42,3.17,72.36,64.82,No,23399.64,14691.87,73098.50156721186,4.800165474060823,-1.120771022119793,2
C0001,2018,Retail,46956,4286429398.67,216012.89,43.96,2,Medium,7.07,76.14,12.85,9.95,74.32,70.85,Yes,24098.69,16807.15,91286.08481706279,4.600325623988415,24.880924861541786,2
C0001,2019,Retail,46956,4758816899.04,239754.37,50.18,6,Medium,6.39,87.33,8.96,10.22,73.44,74.51,Yes,30350.75,18308.95,101346.30077178635,5.105936834483346,11.020536125395486,2
C0001,2020,Retail,46956,4868985955.86,253268.38,40.35,5,Medium,6.9,79.4,9.12,8.59,68.35,68.66,No,26214.34,21242.44,103692.51971760797,5.393738393389556,2.315051391076306,2
C0001,2021,Retail,46956,4022710061.96,182948.52,66.86,4,Medium,7.49,85.28,8.4,3.75,85.31,70.65,No,24894.97,21871.31,85669.77728000682,3.8961691796575515,-17.380947523199897,2
C0001,2022,Retail,46956,7627957439.24,156781.26,62.32,6,Medium,6.29,79.71,9.32,13.09,81.96,80.54,Yes,22557.5,9700.09,162449.04675100092,3.3388972655251727,89.62235213947787,2
C0001,2023,Retail,46956,3921175632.97,220183.74,54.98,4,Medium,6.54,82.24,8.92,2.47,75.77,70.44,No,25834.98,12541.45,83507.44597005707,4.689150268336315,-48.59468390845295,2
C0001,2024,Retail,46956,6272797580.6,221002.35,61.76,5,Medium,7.87,86.16,8.96,7.67,82.26,67.67,Yes,21148.91,17235.55,133588.84020359485,4.706583823153591,59.97236971119351,2
C0002,2015,Technology,2190,8838777657.89,227146.97,47.18,4,Medium,6.35,76.78,10.99,0.84,73.85,72.45,No,394.31,255.28,4035971.5332831047,103.72007762557078,,2
C0002,2016,Technology,2190,8692385662.94,223715.33,37.26,4,Low,6.87,77.94,13.14,-1.66,73.87,75.38,No,389.22,292.03,3969125.8734885845,102.15311872146118,-1.656247058317173,1
